Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,73,12,T:System.Windows.Forms.FormWindowState,,,,,WindowState = FormWindowState.Minimized;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,73,12,P:System.Windows.Forms.Form.WindowState,,,,,WindowState = FormWindowState.Minimized;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,72,12,P:System.Windows.Forms.Form.Text,,,,,"Text = ""MainScreen"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,71,12,P:System.Windows.Forms.Control.Name,,,,,"Name = ""MainScreen"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,70,12,P:System.Windows.Forms.Form.ClientSize,,,,,"ClientSize = new Size(800, 450);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,69,12,T:System.Windows.Forms.AutoScaleMode,,,,,AutoScaleMode = AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,69,12,T:System.Windows.Forms.AutoScaleMode,,,,,AutoScaleMode = AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,69,12,F:System.Windows.Forms.AutoScaleMode.Font,,,,,AutoScaleMode = AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,69,12,T:System.Windows.Forms.AutoScaleMode,,,,,AutoScaleMode = AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,69,12,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,AutoScaleMode = AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,68,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"AutoScaleDimensions = new SizeF(7F, 15F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,64,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,sortNowToolStripMenuItem.Click += sortNowToolStripMenuItem_Click;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,64,12,E:System.Windows.Forms.ToolStripItem.Click,,,,,sortNowToolStripMenuItem.Click += sortNowToolStripMenuItem_Click;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,63,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,"sortNowToolStripMenuItem.Text = ""Sort Now"";"
